iter	Logloss
0	0.6761046407
1	0.6642511832
2	0.6472823918
3	0.6338654307
4	0.6152090351
5	0.6012493631
6	0.5895187216
7	0.5792088438
8	0.5653819734
9	0.5515006267
10	0.539162396
11	0.5309949703
12	0.5204134229
13	0.5124294331
14	0.500768172
15	0.4899970441
16	0.4781079049
17	0.4693961906
18	0.4627321538
19	0.4560544421
20	0.446513663
21	0.4373935617
22	0.4293018667
23	0.4218135585
24	0.4135669191
25	0.4051901319
26	0.3981194729
27	0.3912548835
28	0.3856896382
29	0.3809497131
30	0.3757490201
31	0.3707837459
32	0.3646837139
33	0.3605421885
34	0.3551347659
35	0.3497082881
36	0.3450068069
37	0.3413762696
38	0.3365669756
39	0.3328553921
40	0.3293479308
41	0.3260337623
42	0.3229503273
43	0.3193026508
44	0.3159231065
45	0.3131656837
46	0.30834034
47	0.3055199669
48	0.3016616226
49	0.299593603
50	0.2967838019
51	0.294489564
52	0.2922736505
53	0.2898935697
54	0.2868921032
55	0.2846804774
56	0.2816362949
57	0.2798993752
58	0.2781332323
59	0.2755074028
60	0.273285651
61	0.2707311095
62	0.2679325608
63	0.2663552113
64	0.2638441056
65	0.2622535508
66	0.26046093
67	0.2584533382
68	0.2565830923
69	0.2550919301
70	0.2537371562
71	0.2514594779
72	0.2497140979
73	0.2474752626
74	0.246066982
75	0.2446642434
76	0.2433633426
77	0.2416565081
78	0.2399445607
79	0.2385167729
80	0.2365957112
81	0.2354376401
82	0.2337201044
83	0.2327589645
84	0.231328917
85	0.2306137964
86	0.2292379375
87	0.2281515137
88	0.2270535169
89	0.2259800232
90	0.2243243373
91	0.2237769719
92	0.2227086544
93	0.2212992054
94	0.2198973982
95	0.2192648826
96	0.2183851897
97	0.2177873499
98	0.2170136186
99	0.2165602841
100	0.2159953802
101	0.2149371117
102	0.2141644934
103	0.2136620904
104	0.2130116039
105	0.2122094542
106	0.2116087175
107	0.2110437321
108	0.2100037352
109	0.2094717513
110	0.2082255201
111	0.2076241467
112	0.2067224968
113	0.2059885302
114	0.2051216329
115	0.2048236951
116	0.2042622763
117	0.2036035557
118	0.2031645531
119	0.2028008449
120	0.2020783101
121	0.2013759964
122	0.2008521768
123	0.2003895494
124	0.1997263381
125	0.1989213777
126	0.1984312363
127	0.19765916
128	0.1970747246
129	0.1966728257
130	0.1961691518
131	0.1958384519
132	0.1952582219
133	0.1948473715
134	0.1943979071
135	0.193929838
136	0.1932702813
137	0.1926756529
138	0.1923008766
139	0.1916448894
140	0.191158402
141	0.1908490995
142	0.1904732143
143	0.1899640567
144	0.1894862107
145	0.1891391737
146	0.1887351392
147	0.1883885824
148	0.1878409808
149	0.1872038173
150	0.1866926246
151	0.1862228574
152	0.185783574
153	0.1854100582
154	0.1846957675
155	0.184224643
156	0.1836203942
157	0.18322281
158	0.1826395063
159	0.1824613479
160	0.1820171029
161	0.1815771232
162	0.1811406829
163	0.1809885294
164	0.1805477884
165	0.1803532705
166	0.1798637268
167	0.1795733827
168	0.17910953
169	0.1787590634
170	0.178286288
171	0.1779610217
172	0.1774733813
173	0.177116505
174	0.1768617444
175	0.1767382177
176	0.1761423224
177	0.1758823009
178	0.1756736356
179	0.1753230947
180	0.1750027624
181	0.1747425516
182	0.1746295044
183	0.1742622495
184	0.1738992588
185	0.1735921423
186	0.1733207944
187	0.1729558911
188	0.1726034332
189	0.1724388385
190	0.1722767117
191	0.1722206806
192	0.1718807781
193	0.1716762572
194	0.1714957438
195	0.1711915297
196	0.1707880429
197	0.1704666289
198	0.1704315866
199	0.1700180534
200	0.1695323883
201	0.1690801324
202	0.1687685663
203	0.1686684107
204	0.1684758145
205	0.1682839407
206	0.1681969629
207	0.1680381658
208	0.167862077
209	0.1676970638
210	0.1674073043
211	0.1670851767
212	0.1668603732
213	0.1667216331
214	0.1666001917
215	0.1665002421
216	0.166442833
217	0.1661073227
218	0.1660112437
219	0.1659205797
220	0.1657351668
221	0.1656364903
222	0.1654758394
223	0.1652810628
224	0.1651272165
225	0.1649566566
226	0.1647222089
227	0.1646132655
228	0.1642961556
229	0.1641446415
230	0.1638313648
231	0.1635653716
232	0.1633004061
233	0.1629819926
234	0.1629571024
235	0.162773153
236	0.1626749489
237	0.1624734532
238	0.1623360516
239	0.1620887831
240	0.161932658
241	0.1617761102
242	0.1615622399
243	0.1613875798
244	0.1610790012
245	0.1609719698
246	0.1607768618
247	0.160633103
248	0.160448248
249	0.1602386296
250	0.1600703497
251	0.1597710782
252	0.1596600565
253	0.1592984225
254	0.1591337794
255	0.1589684106
256	0.1587689077
257	0.1585880257
258	0.1584275481
259	0.1581797862
260	0.1580451282
261	0.1577767399
262	0.1576960366
263	0.1575557349
264	0.1573395498
265	0.1570705068
266	0.1569597277
267	0.156795275
268	0.1566011755
269	0.1563193778
270	0.155935719
271	0.1558677918
272	0.1557166981
273	0.1556623044
274	0.1554741048
275	0.1553648224
276	0.1551473115
277	0.155077896
278	0.1549363821
279	0.1547556583
280	0.154668183
281	0.1545853633
282	0.1545333168
283	0.1544154429
284	0.154157217
285	0.1540582712
286	0.1540015862
287	0.1539811842
288	0.1539687637
289	0.1538976262
290	0.1537853564
291	0.1535441809
292	0.1534127145
293	0.1533117853
294	0.1532509834
295	0.1529730557
296	0.1529129974
297	0.1527835278
298	0.1524508517
299	0.1523179731
300	0.1521491868
301	0.152015175
302	0.1518418838
303	0.1517979205
304	0.1515980571
305	0.1515204708
306	0.1513902125
307	0.1511650877
308	0.1511153565
