iter	Passed	Remaining
669	2260	1113
670	2262	1109
671	2266	1106
672	2268	1102
673	2271	1098
674	2273	1094
675	2276	1090
676	2279	1087
677	2282	1084
678	2285	1080
679	2287	1076
680	2290	1072
681	2292	1068
682	2294	1064
683	2299	1062
684	2301	1058
685	2304	1054
686	2309	1052
687	2313	1049
688	2316	1045
689	2318	1041
690	2323	1039
691	2330	1037
692	2335	1034
693	2343	1033
694	2348	1030
695	2366	1033
696	2370	1030
697	2373	1026
698	2378	1024
699	2381	1020
700	2386	1018
701	2403	1020
702	2409	1017
703	2416	1015
704	2419	1012
705	2421	1008
706	2426	1005
707	2429	1001
708	2431	998
709	2433	994
710	2435	990
711	2441	987
712	2443	983
713	2446	979
714	2449	976
715	2451	972
716	2453	968
717	2456	964
718	2458	960
719	2460	957
720	2463	953
721	2465	949
722	2469	946
723	2472	942
724	2475	939
725	2478	935
726	2480	931
727	2484	928
728	2488	925
729	2490	921
730	2492	917
731	2495	913
732	2500	910
733	2503	907
734	2506	903
735	2509	900
736	2512	896
737	2516	893
738	2518	889
739	2525	887
740	2528	883
741	2533	880
742	2535	877
743	2537	873
744	2541	869
745	2545	866
746	2548	863
747	2551	859
748	2553	855
749	2555	851
750	2558	848
751	2563	845
752	2565	841
753	2567	837
754	2570	833
755	2572	830
756	2574	826
757	2578	823
758	2581	819
759	2583	815
760	2585	811
761	2587	808
762	2589	804
763	2593	801
764	2595	797
765	2598	793
766	2600	790
767	2603	786
768	2605	782
769	2609	779
770	2612	776
771	2614	772
772	2617	768
773	2623	766
774	2628	763
775	2632	759
776	2639	757
777	2645	754
778	2648	751
779	2651	747
780	2659	745
781	2661	742
782	2666	738
783	2692	741
784	2697	738
785	2709	737
786	2712	734
787	2715	730
788	2719	727
789	2721	723
790	2725	720
791	2729	716
792	2734	713
793	2737	710
794	2740	706
795	2743	703
796	2746	699
797	2751	696
798	2753	692
799	2756	689
800	2758	685
801	2760	681
802	2766	678
803	2768	674
804	2771	671
805	2773	667
806	2775	663
807	2779	660
808	2782	656
809	2784	653
810	2786	649
811	2788	645
812	2790	641
813	2795	638
814	2797	635
815	2799	631
816	2802	627
817	2804	623
818	2807	620
819	2812	617
820	2815	613
821	2818	610
822	2820	606
823	2823	603
824	2826	599
825	2828	595
826	2830	592
827	2832	588
828	2835	584
829	2837	581
830	2840	577
831	2843	574
832	2845	570
833	2848	566
834	2850	563
835	2852	559
836	2858	556
837	2860	552
838	2862	549
839	2865	545
840	2867	542
841	2869	538
842	2872	534
843	2874	531
844	2876	527
845	2880	524
846	2884	520
847	2887	517
848	2890	514
849	2894	510
850	2898	507
851	2901	504
852	2904	500
853	2908	497
854	2911	493
855	2917	490
856	2919	487
857	2921	483
858	2924	480
859	2928	476
860	2932	473
861	2934	469
862	2941	466
863	2945	463
864	2948	460
865	2958	457
866	2962	454
867	2974	452
868	2977	448
869	2986	446
870	2992	443
871	2996	439
872	3000	436
873	3004	433
874	3007	429
875	3017	427
876	3020	423
877	3023	420
878	3031	417
879	3034	413
880	3037	410
881	3039	406
882	3047	403
883	3051	400
884	3053	396
885	3056	393
886	3060	389
887	3062	386
888	3065	382
889	3067	379
890	3070	375
891	3077	372
892	3080	369
893	3082	365
894	3086	362
895	3091	358
896	3095	355
897	3099	352
898	3105	348
899	3109	345
900	3111	341
901	3113	338
902	3116	334
903	3119	331
904	3122	327
905	3124	324
906	3126	320
907	3129	317
908	3131	313
909	3134	309
910	3139	306
911	3141	303
912	3144	299
913	3146	296
914	3149	292
915	3153	289
916	3156	285
917	3158	282
918	3160	278
919	3163	275
920	3165	271
921	3169	268
922	3171	264
923	3173	261
924	3175	257
925	3178	253
926	3180	250
927	3183	246
928	3186	243
929	3188	240
930	3191	236
931	3193	232
932	3195	229
933	3199	226
934	3201	222
935	3204	219
936	3206	215
937	3208	212
938	3210	208
939	3215	205
940	3217	201
941	3219	198
942	3221	194
943	3224	191
944	3226	187
945	3231	184
946	3235	181
947	3237	177
948	3239	174
949	3242	170
950	3249	167
951	3255	164
952	3267	161
953	3284	158
954	3290	155
955	3297	151
956	3301	148
957	3308	145
958	3314	141
959	3318	138
960	3323	134
961	3328	131
962	3330	127
963	3334	124
964	3341	121
965	3345	117
966	3348	114
967	3351	110
968	3355	107
969	3359	103
970	3361	100
971	3364	96
972	3366	93
973	3370	89
974	3373	86
975	3375	83
976	3378	79
977	3380	76
978	3382	72
979	3386	69
980	3388	65
981	3390	62
982	3392	58
983	3394	55
984	3396	51
985	3400	48
986	3402	44
987	3404	41
988	3406	37
989	3409	34
990	3411	30
991	3416	27
992	3419	24
993	3422	20
994	3424	17
995	3427	13
996	3431	10
997	3433	6
998	3435	3
999	3437	0
